"Assembly","Session","Date","Word","PDF"
"14th Assembly"," 6th Session","2003-10-10","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn031010.pdf"
"14th Assembly"," 6th Session","2003-10-9","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn031009.pdf"
"14th Assembly"," 6th Session","2003-10-8","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn031008.pdf"
"14th Assembly"," 6th Session","2003-10-7","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn031007.pdf"
"14th Assembly"," 6th Session","2003-10-6","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn031006.pdf"
"14th Assembly"," 6th Session","2003-10-3","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn031003.pdf"
"14th Assembly"," 6th Session","2003-10-2","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn031002.pdf"
"14th Assembly"," 6th Session","2003-10-1","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn031001.pdf"
"14th Assembly"," 6th Session","2003-9-30","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030930.pdf"
"14th Assembly"," 6th Session","2003-6-13","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030613.pdf"
"14th Assembly"," 6th Session","2003-6-12","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030612.pdf"
"14th Assembly"," 6th Session","2003-6-11","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030611.pdf"
"14th Assembly"," 6th Session","2003-6-10","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030610.pdf"
"14th Assembly"," 6th Session","2003-6-9","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030609.pdf"
"14th Assembly"," 6th Session","2003-6-6","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030606.pdf"
"14th Assembly"," 6th Session","2003-6-5","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030605.pdf"
"14th Assembly"," 6th Session","2003-6-4","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030604.pdf"
"14th Assembly"," 6th Session","2003-3-13","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030313.pdf"
"14th Assembly"," 6th Session","2003-3-12","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030312.pdf"
"14th Assembly"," 6th Session","2003-3-11","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030311.pdf"
"14th Assembly"," 6th Session","2003-3-10","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030310.pdf"
"14th Assembly"," 6th Session","2003-3-7","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030307.pdf"
"14th Assembly"," 6th Session","2003-3-6","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030306.pdf"
"14th Assembly"," 6th Session","2003-3-5","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030305.pdf"
"14th Assembly"," 6th Session","2003-3-4","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030304.pdf"
"14th Assembly"," 6th Session","2003-3-3","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030303.pdf"
"14th Assembly"," 6th Session","2003-2-28","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030228.pdf"
"14th Assembly"," 6th Session","2003-2-27","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030227.pdf"
"14th Assembly"," 6th Session","2003-2-26","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030226.pdf"
"14th Assembly"," 6th Session","2003-2-25","","https://www.assembly.gov.nt.ca/sites/assembly/files/hn030225.pdf"
