"Assembly","Session","Date","Word","PDF"
"18th Assembly"," 3rd Session","2019-8-23","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190823.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190823.pdf"
"18th Assembly"," 3rd Session","2019-8-22","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190822.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190822.pdf"
"18th Assembly"," 3rd Session","2019-8-21","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190821_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190821.pdf"
"18th Assembly"," 3rd Session","2019-8-20","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190820.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190820.pdf"
"18th Assembly"," 3rd Session","2019-8-19","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190819.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190819_0.pdf"
"18th Assembly"," 3rd Session","2019-8-16","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190816_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190816.pdf"
"18th Assembly"," 3rd Session","2019-8-15","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190815_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190815.pdf"
"18th Assembly"," 3rd Session","2019-8-14","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190814_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190814.pdf"
"18th Assembly"," 3rd Session","2019-8-13","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190813.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190813.pdf"
"18th Assembly"," 3rd Session","2019-8-12","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190812.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190812.pdf"
"18th Assembly"," 3rd Session","2019-6-6","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190606.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190606.pdf"
"18th Assembly"," 3rd Session","2019-6-5","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190605_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190605.pdf"
"18th Assembly"," 3rd Session","2019-6-4","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190604_3.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190604_3.pdf"
"18th Assembly"," 3rd Session","2019-5-30","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190530.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190530.pdf"
