"Assembly","Session","Date","Word","PDF"
"19th Assembly"," 2nd Session","2020-3-16","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200316.docx",""
"19th Assembly"," 2nd Session","2020-3-16","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200316_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200316_0.pdf"
"18th Assembly"," 3rd Session","2019-8-23","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190823.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190823.pdf"
"18th Assembly"," 3rd Session","2019-8-22","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190822.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190822.pdf"
"18th Assembly"," 3rd Session","2019-8-21","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190821_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn190821.pdf"
