18th Assembly- 3rd Session,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190306_0.docx,NWT/docs/[2019-03-06]hn190306_0.docx,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190306.pdf,
18th Assembly- 3rd Session,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190305_1.docx,NWT/docs/[2019-03-05]hn190305_1.docx,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190305.pdf,
18th Assembly- 3rd Session,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190228.docx,NWT/docs/[2019-02-28]hn190228.docx,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190228.pdf,
18th Assembly- 3rd Session,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190227.docx,NWT/docs/[2019-02-27]hn190227.docx,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190227.pdf,
18th Assembly- 3rd Session,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190226.docx,NWT/docs/[2019-02-26]hn190226.docx,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190226.pdf,
18th Assembly- 3rd Session,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190225_1.docx,NWT/docs/[2019-02-25]hn190225_1.docx,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190225.pdf,
18th Assembly- 3rd Session,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190222.docx,NWT/docs/[2019-02-22]hn190222.docx,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190222.pdf,
18th Assembly- 3rd Session,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190221.docx,NWT/docs/[2019-02-21]hn190221.docx,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190221.pdf,
18th Assembly- 3rd Session,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190220_0.docx,NWT/docs/[2019-02-20]hn190220_0.docx,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190220.pdf,
18th Assembly- 3rd Session,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190214.docx,NWT/docs/[2019-02-14]hn190214.docx,https://www.assembly.gov.nt.ca/sites/assembly/files/hn190214.pdf,
