"Assembly","Session","Date","Word","PDF"
"19th Assembly"," 2nd Session","2020-3-16","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200316.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200316.pdf"
"19th Assembly"," 2nd Session","2020-3-13","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200313_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200313.pdf"
"19th Assembly"," 2nd Session","2020-3-12","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200312.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200312.pdf"
"19th Assembly"," 2nd Session","2020-3-11","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200311.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200311.pdf"
"19th Assembly"," 2nd Session","2020-3-10","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200310_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200310.pdf"
"19th Assembly"," 2nd Session","2020-3-5","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200305_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200305.pdf"
"19th Assembly"," 2nd Session","2020-3-4","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200304_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200304.pdf"
"19th Assembly"," 2nd Session","2020-3-3","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200303_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200303.pdf"
"19th Assembly"," 2nd Session","2020-3-2","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200302_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200302.pdf"
"19th Assembly"," 2nd Session","2020-2-28","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200228_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200228.pdf"
"19th Assembly"," 2nd Session","2020-2-27","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200227_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200227.pdf"
"19th Assembly"," 2nd Session","2020-2-26","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200226_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200226.pdf"
"19th Assembly"," 2nd Session","2020-2-25","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200225_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200225.pdf"
"19th Assembly"," 2nd Session","2020-2-13","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200213_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200213.pdf"
"19th Assembly"," 2nd Session","2020-2-12","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200212_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200212.pdf"
"19th Assembly"," 2nd Session","2020-2-11","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200211_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200211.pdf"
"19th Assembly"," 2nd Session","2020-2-10","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200210_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200210_0.pdf"
"19th Assembly"," 2nd Session","2020-2-7","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200207_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200207.pdf"
"19th Assembly"," 2nd Session","2020-2-6","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200206_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200206.pdf"
"19th Assembly"," 2nd Session","2020-2-5","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200205_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn200205.pdf"
"19th Assembly"," 1st Session","2019-12-12","https://www.assembly.gov.nt.ca/sites/assembly/files/hn191212.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn191212.pdf"
"19th Assembly"," 1st Session","2019-12-11","https://www.assembly.gov.nt.ca/sites/assembly/files/hn191211_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn191211.pdf"
"19th Assembly"," 1st Session","2019-12-10","https://www.assembly.gov.nt.ca/sites/assembly/files/hn191210.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn191210.pdf"
"19th Assembly"," 1st Session","2019-10-25","https://www.assembly.gov.nt.ca/sites/assembly/files/hn191025.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn191025.pdf"
"19th Assembly"," 0th Session","2019-10-24","https://www.assembly.gov.nt.ca/sites/assembly/files/tlc191024.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/tlc191024.pdf"
"19th Assembly"," 0th Session","2019-10-18","https://www.assembly.gov.nt.ca/sites/assembly/files/tlc191018.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/tlc191018.pdf"
"19th Assembly"," 0th Session","2019-10-9","https://www.assembly.gov.nt.ca/sites/assembly/files/rt191009_1.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/rt191009_0.pdf"
