"Assembly","Session","Date","Word","PDF"
"17th Assembly"," 5th Session","2015-10-8","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151008_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151008.pdf"
"17th Assembly"," 5th Session","2015-10-7","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151007.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151007_0.pdf"
"17th Assembly"," 5th Session","2015-10-6","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151006_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151006.pdf"
"17th Assembly"," 5th Session","2015-10-5","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151005_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151005_0.pdf"
"17th Assembly"," 5th Session","2015-10-2","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151002.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151002.pdf"
"17th Assembly"," 5th Session","2015-10-1","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151001.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn151001.pdf"
"17th Assembly"," 5th Session","2015-9-30","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150930_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150930.pdf"
"17th Assembly"," 5th Session","2015-9-29","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150929.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150929.pdf"
"17th Assembly"," 5th Session","2015-6-4","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150604_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150604.pdf"
"17th Assembly"," 5th Session","2015-6-3","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150603_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150603.pdf"
"17th Assembly"," 5th Session","2015-6-2","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150602_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150602.pdf"
"17th Assembly"," 5th Session","2015-6-1","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150601_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150601.pdf"
"17th Assembly"," 5th Session","2015-5-29","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150529.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150529.pdf"
"17th Assembly"," 5th Session","2015-5-28","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150528_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150528.pdf"
"17th Assembly"," 5th Session","2015-5-27","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150527_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150527.pdf"
"17th Assembly"," 5th Session","2015-3-12","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150312.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150312.pdf"
"17th Assembly"," 5th Session","2015-3-11","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150311_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn150311.pdf"
