"Assembly","Session","Date","Word","PDF"
"18th Assembly"," 3rd Session","2019-8-16","https://www.ntassembly.ca/sites/assembly/files/hn190816_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn190816.pdf"
"18th Assembly"," 3rd Session","2019-8-15","https://www.ntassembly.ca/sites/assembly/files/hn190815_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn190815.pdf"
"18th Assembly"," 3rd Session","2019-8-14","https://www.ntassembly.ca/sites/assembly/files/hn190814_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn190814.pdf"
"18th Assembly"," 3rd Session","2019-8-13","https://www.ntassembly.ca/sites/assembly/files/hn190813.docx","https://www.ntassembly.ca/sites/assembly/files/hn190813.pdf"
"18th Assembly"," 3rd Session","2019-8-12","https://www.ntassembly.ca/sites/assembly/files/hn190812.docx","https://www.ntassembly.ca/sites/assembly/files/hn190812.pdf"
"18th Assembly"," 3rd Session","2019-6-6","https://www.ntassembly.ca/sites/assembly/files/hn190606.docx","https://www.ntassembly.ca/sites/assembly/files/hn190606.pdf"
"18th Assembly"," 3rd Session","2019-6-5","https://www.ntassembly.ca/sites/assembly/files/hn190605_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn190605.pdf"
"18th Assembly"," 3rd Session","2019-6-4","https://www.ntassembly.ca/sites/assembly/files/hn190604_3.docx","https://www.ntassembly.ca/sites/assembly/files/hn190604_3.pdf"
"18th Assembly"," 3rd Session","2019-5-30","https://www.ntassembly.ca/sites/assembly/files/hn190530.docx","https://www.ntassembly.ca/sites/assembly/files/hn190530.pdf"
"18th Assembly"," 3rd Session","2019-5-29","https://www.ntassembly.ca/sites/assembly/files/hn190529.docx","https://www.ntassembly.ca/sites/assembly/files/hn190529.pdf"
"18th Assembly"," 3rd Session","2019-5-28","https://www.ntassembly.ca/sites/assembly/files/hn190528.docx","https://www.ntassembly.ca/sites/assembly/files/hn190528.pdf"
"18th Assembly"," 3rd Session","2019-5-27","https://www.ntassembly.ca/sites/assembly/files/hn190527.docx","https://www.ntassembly.ca/sites/assembly/files/hn190527.pdf"
"18th Assembly"," 3rd Session","2019-5-24","https://www.ntassembly.ca/sites/assembly/files/hn190524.docx","https://www.ntassembly.ca/sites/assembly/files/hn190524.pdf"
"18th Assembly"," 3rd Session","2019-5-23","https://www.ntassembly.ca/sites/assembly/files/hn190523.docx","https://www.ntassembly.ca/sites/assembly/files/hn190523.pdf"
"18th Assembly"," 3rd Session","2019-3-14","https://www.ntassembly.ca/sites/assembly/files/hn190314.docx","https://www.ntassembly.ca/sites/assembly/files/hn190314.pdf"
