14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn031010.pdf,NWT/pdfs/[2003-10-10]hn031010.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn031009.pdf,NWT/pdfs/[2003-10-09]hn031009.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn031008.pdf,NWT/pdfs/[2003-10-08]hn031008.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn031007.pdf,NWT/pdfs/[2003-10-07]hn031007.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn031006.pdf,NWT/pdfs/[2003-10-06]hn031006.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn031003.pdf,NWT/pdfs/[2003-10-03]hn031003.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn031002.pdf,NWT/pdfs/[2003-10-02]hn031002.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn031001.pdf,NWT/pdfs/[2003-10-01]hn031001.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn030930.pdf,NWT/pdfs/[2003-09-30]hn030930.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn030613.pdf,NWT/pdfs/[2003-06-13]hn030613.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn030612.pdf,NWT/pdfs/[2003-06-12]hn030612.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn030611.pdf,NWT/pdfs/[2003-06-11]hn030611.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn030610.pdf,NWT/pdfs/[2003-06-10]hn030610.pdf
14th Assembly- 6th Session,,,https://www.assembly.gov.nt.ca/sites/assembly/files/hn030609.pdf,NWT/pdfs/[2003-06-09]hn030609.pdf
