"Assembly","Session","Date","Word","PDF"
"15th Assembly"," 6th Session","2007-8-23","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070823.docx",""
"15th Assembly"," 6th Session","2007-8-22","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070822.docx",""
"15th Assembly"," 6th Session","2007-8-21","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070821.docx",""
"15th Assembly"," 6th Session","2007-8-20","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070820.docx",""
"15th Assembly"," 6th Session","2007-8-17","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070817.docx",""
"15th Assembly"," 6th Session","2007-8-16","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070816.docx",""
"15th Assembly"," 6th Session","2007-8-15","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070815.docx",""
"15th Assembly"," 6th Session","2007-5-17","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070517.docx",""
"15th Assembly"," 6th Session","2007-5-16","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070516.docx",""
"15th Assembly"," 6th Session","2007-5-15","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070515.docx",""
"15th Assembly"," 6th Session","2007-5-14","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070514.docx",""
"15th Assembly"," 6th Session","2007-5-11","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070511.docx",""
"15th Assembly"," 6th Session","2007-5-10","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070510.docx",""
"15th Assembly"," 6th Session","2007-5-9","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070509.docx",""
"15th Assembly"," 6th Session","2007-3-14","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070314.docx",""
"15th Assembly"," 6th Session","2007-3-14","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070314_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070314.pdf"
"15th Assembly"," 6th Session","2007-3-13","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070313_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070313.pdf"
"15th Assembly"," 5th Session","2007-3-12","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070312_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070312.pdf"
"15th Assembly"," 5th Session","2007-3-9","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070309_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070309.pdf"
"15th Assembly"," 5th Session","2007-3-8","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070308_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070308.pdf"
"15th Assembly"," 5th Session","2007-3-7","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070307_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn070307.pdf"
