"Date_Long","Date_Short","MHT","PDF"
"May 17, 2021","2021-05-17","https://yukonassembly.ca/sites/default/files/hansard/35-1-4_2.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-4.pdf"
"May 13, 2021","2021-05-13","https://yukonassembly.ca/sites/default/files/hansard/35-1-3.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-3.pdf"
"May 12, 2021","2021-05-12","https://yukonassembly.ca/sites/default/files/hansard/35-1-2_6.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-2.pdf"
"May 11, 2021","2021-05-11","https://yukonassembly.ca/sites/default/files/hansard/35-1-1_2.mht","https://yukonassembly.ca/sites/default/files/hansard/35-1-1.pdf"
"March 11, 2021","2021-03-11","https://yukonassembly.ca/sites/default/files/hansard/34-3-89.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-89.pdf"
"March 10, 2021","2021-03-10","https://yukonassembly.ca/sites/default/files/hansard/34-3-88_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-88.pdf"
"March 9, 2021","2021-03-09","https://yukonassembly.ca/sites/default/files/hansard/34-3-87_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-87.pdf"
"March 8, 2021","2021-03-08","https://yukonassembly.ca/sites/default/files/hansard/34-3-86_2.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-86.pdf"
"March 4, 2021","2021-03-04","https://yukonassembly.ca/sites/default/files/hansard/34-3-85_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-85.pdf"
"December 22, 2020","2020-12-22","https://yukonassembly.ca/sites/default/files/hansard/34-3-84_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-84.pdf"
"December 21, 2020","2020-12-21","https://yukonassembly.ca/sites/default/files/hansard/34-3-83.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-83.pdf"
"December 17, 2020","2020-12-17","https://yukonassembly.ca/sites/default/files/hansard/34-3-82_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-82.pdf"
"December 16, 2020","2020-12-16","https://yukonassembly.ca/sites/default/files/hansard/34-3-81.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-81.pdf"
"December 15, 2020","2020-12-15","https://yukonassembly.ca/sites/default/files/hansard/34-3-80_2.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-80.pdf"
"December 14, 2020","2020-12-14","https://yukonassembly.ca/sites/default/files/hansard/34-3-79_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-79.pdf"
"December 10, 2020","2020-12-10","https://yukonassembly.ca/sites/default/files/hansard/34-3-78_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-78.pdf"
"December 9, 2020","2020-12-09","https://yukonassembly.ca/sites/default/files/hansard/34-3-77.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-77.pdf"
"December 8, 2020","2020-12-08","https://yukonassembly.ca/sites/default/files/hansard/34-3-76_2.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-76.pdf"
"December 7, 2020","2020-12-07","https://yukonassembly.ca/sites/default/files/hansard/33-3-75_2.mht","https://yukonassembly.ca/sites/default/files/hansard/33-3-75.pdf"
"December 4, 2020","2020-12-04","https://yukonassembly.ca/sites/default/files/hansard/34-3-74_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-74.pdf"
"December 3, 2020","2020-12-03","https://yukonassembly.ca/sites/default/files/hansard/34-3-73_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-73.pdf"
"December 2, 2020","2020-12-02","https://yukonassembly.ca/sites/default/files/hansard/34-3-72_4.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-72.pdf"
"December 1, 2020","2020-12-01","https://yukonassembly.ca/sites/default/files/hansard/34-3-71_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-71.pdf"
"November 30, 2020","2020-11-30","https://yukonassembly.ca/sites/default/files/hansard/34-3-70_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-70.pdf"
"November 26, 2020","2020-11-26","https://yukonassembly.ca/sites/default/files/hansard/34-3-69_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-69.pdf"
"November 25, 2020","2020-11-25","https://yukonassembly.ca/sites/default/files/hansard/34-3-68_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-68.pdf"
"November 24, 2020","2020-11-24","https://yukonassembly.ca/sites/default/files/hansard/34-3-67_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-67.pdf"
"November 23, 2020","2020-11-23","https://yukonassembly.ca/sites/default/files/hansard/34-3-66_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-66.pdf"
"November 19, 2020","2020-11-19","https://yukonassembly.ca/sites/default/files/hansard/34-3-65_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-65.pdf"
"November 18, 2020","2020-11-18","https://yukonassembly.ca/sites/default/files/hansard/34-3-64_2.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-64.pdf"
"November 17, 2020","2020-11-17","https://yukonassembly.ca/sites/default/files/hansard/34-3-63_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-63.pdf"
"November 16, 2020","2020-11-16","https://yukonassembly.ca/sites/default/files/hansard/34-3-62_2.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-62.pdf"
"November 10, 2020","2020-11-10","https://yukonassembly.ca/sites/default/files/hansard/34-3-61_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-61.pdf"
"November 9, 2020","2020-11-09","https://yukonassembly.ca/sites/default/files/hansard/34-3-60_2.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-60.pdf"
"November 5, 2020","2020-11-05","https://yukonassembly.ca/sites/default/files/hansard/34-3-59_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-59.pdf"
"November 4, 2020","2020-11-04","https://yukonassembly.ca/sites/default/files/hansard/34-3-058_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-058.pdf"
"November 3, 2020","2020-11-03","https://yukonassembly.ca/sites/default/files/hansard/34-3-057_3.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-057.pdf"
"November 2, 2020","2020-11-02","https://yukonassembly.ca/sites/default/files/hansard/34-3-056_2.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-056.pdf"
"October 29, 2020","2020-10-29","https://yukonassembly.ca/sites/default/files/hansard/34-3-055_1.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-055.pdf"
"October 28, 2020","2020-10-28","https://yukonassembly.ca/sites/default/files/hansard/34-3-054_0.mht","https://yukonassembly.ca/sites/default/files/hansard/34-3-054.pdf"
